           1   0.00000000    
           2   0.00000000    
           3   0.00000000    
           4   0.00000000    
           5   0.00000000    
           6   0.00000000    
           7  0.407436669    
           8   2.03718328    
           9   0.00000000    
          10   0.00000000    
          11   1.77146363    
          12   1.62974703    
          13   0.00000000    
          14   0.00000000    
          15   1.31431186    
          16   1.23465669    
          17  0.407436609    
          18  0.770826042    
          19  0.992473960    
          20   0.00000000    
          21   0.00000000    
          22  0.407436609    
          23  0.476787567    
          24   0.00000000    
          25   2.31679678    
          26   2.88280630    
          27  0.296317518    
          28  0.929241538    
          29   1.48472703    
          30   1.16887546    
          31  0.485043585    
          32  0.219388962    
          33   1.27704012    
          34  0.620012283    
          35   2.00849032    
          36  0.920918286    
          37  0.679061115    
          38   5.29138520E-02
          39  0.722039461    
          40   0.00000000    
